კოდი,შემოკლებული დასახელება
5112,შალის ქსოვილები
5113,ბეწვის ან ძუის ქსოვილები
5201,დაუჩეჩავი ბამბის ბოჭკო
5202,ბამბის ნარჩენები
5203,აჩეჩილი ბამბის ბოჭკო
5204,ბამბის ძაფები
5205,85% ≥ ბამბის ნართი
5206,ბამბის ნართი 85%<შემცველობით 
5207,დაფასოებული ბამბის ნართი
5208,"85%-≥, 200 გ/მ2-მდე სიმჭიდროვით"
5209,"85%≥ ბამბა, 200 გ/მ2 > სიმჭიდროვით "
5210,"85%< ბამბა, 200გ/მ2-მდე სიმჭიდროვით"
5211,85%იანი ბამბის ქსოვილები
5212,ბამბის ქსოვილები
5301,სელის ბოჭკო
5302,ქერელის ბოჭკო
5303,ჯუთის და ლაფნის ბოჭკო
5305,ქოქოსის ბოჭკო
5306,სელის ნართი
5307,ჟუთის ან ლაფნის ნართი
5308,მცენარეული ნართი
5309,სელის ქსოვილები
5310,ჯუთის ან ლაფნის ქსოვილები
5311,ქაღალდის და მცენარეული ნართის ქსოვილები
5401,ქიმიური ძაფები
5402,სინთეზური ძაფები
5403,ხელოვნური ძაფები
5404, სინთეზური მონოძაფები
5405,ხელოვნური მონოძაფები
5406,ქიმიური ძაფები
5407,სინთეზური ქსოვილები
5408,ხელოვნური ქსოვილები
5501,სინთეზური ჩალიჩი
5502,ხელოვნური ჩალიჩი
5503,მოუმზადებელი სინთეზური ბოჭკო 
5504,მოუმზადებელი ხელოვნური ბოჭკო 
5505,ბოჭკოს ნარჩენები
5506, მომზადებული სინთეზური ბოჭკო 
5507,მომზადებული ხელოვნური ბოჭკო 
5508,ქიმიური საკერავი ძაფი
5509,დაუფასოებელი სინთეზური ნართი
5510,დაუფასოებელი ხელოვნური ნართი
5511,დაფასოებული ქიმიური ნართი
5512,85%≥ სინთეზური ქსოვილები
5513,სინთეზური ქსოვილები
5514,ბამბიანი სინთეზური ქსოვილები
5515,სინთეტიკები
5516,ხელოვნური ქსოვილები
5601,ბოჭკოები სიგრძით 5მმ-მდე
5602,ფეტრი და ქეჩა
5603,უქსოვადები
5604,რეზინის ძაფი და ზონარი
5605,ძაფი ლითონიზებული
5606,ძაფი სასირმე და სალენტე
5607,თოკეული და ზონრები
5608,ბადეები
5609,ძაფის ნაწარმი
5701,კვანძოვანი ხალიჩები 
5702,ნაქსოვი ხალიჩები
